"rollStrat: 3, scoreStrat: None","rollStrat: 4, scoreStrat: None","rollStrat: 5, scoreStrat: None","rollStrat: 6, scoreStrat: None","rollStrat: 7, scoreStrat: None","rollStrat: 8, scoreStrat: None","rollStrat: 9, scoreStrat: None","rollStrat: 10, scoreStrat: None","rollStrat: None, scoreStrat: 100","rollStrat: None, scoreStrat: 150","rollStrat: None, scoreStrat: 200","rollStrat: None, scoreStrat: 250","rollStrat: None, scoreStrat: 300","rollStrat: None, scoreStrat: 350","rollStrat: None, scoreStrat: 400"
980,952,1112,878,1399,1633,1867,2560,1343,1488,1132,1589,704,1432,1439
719,1000,942,907,897,1127,998,1023,1185,1241,910,717,708,1127,1493
452,539,663,803,775,1098,1103,1661,767,626,1137,632,674,766,760
1082,956,1108,1319,1717,1675,1823,2451,1247,1465,1697,1748,1550,2413,1916
580,576,345,438,254,305,202,214,752,157,340,349,340,354,0
830,920,924,1216,1229,953,1180,1400,996,1334,1591,1567,1089,770,780
543,604,614,526,576,441,565,585,715,754,565,823,334,1162,682
593,596,668,637,985,1133,1499,2110,715,768,1279,1274,1257,1583,2095
647,684,708,522,652,730,870,1280,1008,1241,854,1352,2177,1342,1312
905,997,963,1292,1289,2030,1297,2131,1217,1563,1764,973,852,1066,1955
727,878,1170,827,927,1073,1241,1221,1106,1383,1071,1286,1326,1686,2360
571,756,865,876,762,919,1043,1622,1305,1690,855,2526,1814,2211,3696
1097,1573,1824,2614,3409,4020,4618,2964,1797,2303,2379,3735,2809,4762,4755
588,703,823,1072,1081,898,700,617,993,1387,720,1440,725,792,0
522,505,560,795,725,711,1043,1009,1071,1059,1295,1781,892,1792,1316
789,865,523,545,947,962,228,233,768,380,551,921,332,670,664
842,829,911,740,946,1268,1396,789,1008,1283,1264,1206,1524,1212,1320
495,698,759,1161,1291,1275,1239,1275,1206,1334,1685,1956,2443,1960,3256
643,707,1203,1245,1918,3158,5410,5951,691,1004,1077,1396,1296,2023,2192
829,987,1246,1739,1909,2056,2093,2253,1306,1732,1975,2750,3402,3572,2910
962,948,1296,1672,1570,962,973,588,1256,1631,1286,1545,1568,824,762
579,689,439,547,399,499,264,366,912,432,455,508,514,508,520
666,894,920,922,1269,1741,1847,2105,871,978,818,1756,1087,2696,2328
579,862,1036,975,906,575,414,679,805,665,530,729,739,0,400
796,990,1091,1089,1175,1041,1305,1774,1302,1424,1746,1005,1984,1667,2959
741,809,980,887,542,677,816,838,1216,1257,1195,1318,1730,1393,1404
790,821,753,810,702,676,946,855,1114,866,965,506,529,512,521
705,900,908,989,1038,1089,843,982,948,953,1004,840,754,840,413
652,609,665,456,439,309,115,230,478,663,230,469,460,0,460
910,1227,1353,1524,1962,2974,3220,3606,1334,1944,2212,2273,3862,2342,3219
656,821,775,745,1133,1345,1168,1048,1062,714,1014,1356,1014,1364,1356
840,926,1194,1199,1272,1116,1045,1281,1131,1168,1230,1455,1730,2133,2153
696,838,1023,1128,832,616,834,1120,1074,1331,1360,1710,1070,804,441
600,662,660,1029,860,891,962,1358,675,870,1221,1435,1026,1782,1523
836,636,843,1070,1154,1085,1859,1965,1136,1120,1499,598,1016,696,1404
834,1138,1450,1329,1207,1517,2617,2692,1311,1571,1714,1228,2048,2572,3441
696,786,1187,1415,1522,2009,2106,2652,1378,1779,3031,2251,4725,2664,3177
788,903,910,887,887,1142,627,585,1131,737,974,400,364,400,0
646,563,715,882,960,853,890,869,880,1027,1247,1045,1294,1831,1323
784,865,1064,959,886,1364,442,301,838,1249,1118,1431,1131,1444,0
835,1032,1104,538,668,585,622,934,997,1161,1056,1070,1208,783,1578
813,902,983,1280,1505,2528,2913,3142,1325,1460,1622,2672,1622,3280,3366
844,1063,1037,779,849,643,668,764,1271,1461,1765,918,1302,1517,586
765,720,853,1173,1092,810,1088,1076,1144,1154,1354,985,995,1033,664
731,842,1003,880,912,919,1480,2184,1027,1169,1212,1463,1204,1520,2158
967,1314,1551,1190,1348,851,865,1343,1251,1514,1844,1453,1497,1748,2729
456,578,545,435,481,481,533,656,742,1058,581,356,0,356,0
723,619,764,692,1121,1154,1069,1095,799,595,561,1138,814,1144,660
773,480,631,1012,979,826,181,195,757,894,845,740,1070,1060,1083
709,649,1003,1262,1381,1674,1835,1865,969,1260,1198,1588,1283,1986,1981
728,727,765,833,926,916,833,1186,816,692,758,760,763,1139,1116
777,918,1093,942,982,887,945,1623,724,649,530,758,656,1094,656
504,482,541,709,287,396,541,742,574,890,1219,916,1760,898,1077
883,931,928,1032,1029,1070,1140,942,1164,1356,1366,1728,1670,1734,1726
658,725,826,805,1036,1100,1299,624,805,740,1311,1166,1102,409,400
661,407,482,607,784,863,883,918,931,691,708,702,729,414,423
900,839,903,1133,957,842,1230,1170,1546,1030,1567,1036,1359,670,678
705,933,1041,1405,2249,2074,1827,2197,1083,1084,1399,1546,3194,1492,2040
772,909,973,799,866,981,920,1172,895,1212,1313,2011,1846,3958,2210
649,861,1224,1247,1436,219,399,417,1023,1111,1719,1022,1960,1598,2185
774,648,944,973,1338,1545,1676,1716,1474,2021,2074,1934,1798,1954,1824
896,1229,1425,1372,1288,1369,1991,1986,1326,1443,1636,1277,1645,2688,1984
979,873,729,837,1222,474,348,301,917,663,704,352,0,352,704
785,743,762,925,795,955,989,1666,782,616,1076,3484,1302,1706,1302
1032,955,1271,1407,1734,1386,1804,1714,1311,1493,2472,2462,2428,3268,2755
836,889,955,595,660,434,255,272,968,637,289,284,0,0,0
646,542,561,572,547,591,1007,1213,819,336,687,683,308,996,640
827,1242,1683,2471,4254,7410,927,963,1169,1694,866,1805,1762,2630,1766
780,820,875,1423,649,469,467,488,1076,904,889,792,466,1124,474
982,1000,1089,1052,1377,1193,1990,2028,1223,1453,1700,1704,2034,2772,3866
823,919,1104,1168,1525,1901,1412,2053,973,885,1302,1865,1096,1501,1468
734,705,938,908,1073,1653,1476,1701,1304,1194,890,1087,1109,1427,1460
574,566,663,1026,1121,966,898,923,908,891,984,1079,712,1101,758
1098,909,1028,1021,1032,1594,1343,1521,1197,1124,1167,1042,1799,766,2402
904,1107,747,821,908,1321,1342,1637,1317,1357,1270,1812,1863,1865,3408
522,678,469,579,549,589,318,324,745,626,249,253,550,0,550
709,585,554,763,422,438,451,536,782,466,478,1100,416,837,416
851,761,1102,1002,1242,1538,2261,2535,848,731,671,671,680,716,2096
910,1057,482,655,724,430,359,585,1088,799,518,731,742,444,430
592,738,683,711,843,1318,1164,1151,992,923,1332,1200,1580,1566,1957
712,914,918,1518,1952,1436,856,1120,1157,1318,1821,2287,2226,2016,1739
708,811,1105,1091,1120,500,461,406,1439,825,604,324,320,0,0
843,923,885,969,1314,1767,1884,2666,1342,1252,2053,1856,3034,2225,2590
532,521,598,411,275,270,286,447,800,751,605,270,878,551,546
756,818,610,747,643,623,637,656,646,564,411,444,448,444,453
908,1189,1039,1230,1076,1165,1596,1748,1645,1594,1635,1526,1462,1630,476
855,1138,1135,1255,951,1088,803,409,1269,1532,937,770,458,454,463
848,767,853,965,1062,1440,754,832,1272,1554,1203,2082,1344,2087,1368
593,642,717,829,1240,1147,976,1003,610,938,1208,1300,1216,2228,1208
712,760,1172,1654,1603,1560,1288,1306,1172,1340,2046,1394,1740,1428,1496
966,1111,1431,2087,1564,1191,1414,1244,1444,1513,1387,1719,1421,1447,2133
711,874,631,748,668,770,633,641,1072,892,955,899,1700,482,1380
916,892,876,688,452,599,617,1004,958,970,667,668,370,0,752
911,1098,1645,1630,2205,1540,890,1285,1317,1460,1908,1692,2012,1495,2140
709,885,1080,1023,1493,1676,1854,1614,1427,1548,1799,1692,2168,2918,2616
697,596,848,1296,1210,1356,1503,1953,940,1509,1788,992,2139,1307,1803
705,818,326,322,243,244,456,471,523,357,412,424,412,421,412
961,1290,1465,1845,2546,2819,3011,4326,1298,1212,1887,2036,1672,2471,3625
643,719,727,650,760,757,784,614,843,1014,1116,1852,1836,1858,2261
661,780,844,842,757,656,808,700,902,1051,985,1191,1202,908,1312
583,442,546,578,582,419,430,282,462,772,440,444,440,449,440
805,923,1025,972,1109,327,460,476,587,842,1351,1087,1706,1015,1712
850,795,906,1164,683,609,915,1146,981,906,1108,324,660,688,698
749,982,901,916,1133,1233,1308,1379,1187,1772,1107,1882,1632,1946,2454
649,440,584,843,716,1013,1034,300,697,744,776,770,1150,770,1570
719,877,980,1000,1672,2540,2568,2703,793,1294,1519,1585,1904,2152,1950
1082,1062,1216,1052,1063,1698,1478,1500,981,1101,616,936,621,606,1212
800,983,1397,1374,1397,1448,1137,1998,1192,2691,2339,2798,1493,3345,1773
832,936,1051,1056,1128,1719,2146,3054,1018,2011,2421,1930,2193,2672,2961
844,727,688,877,1008,384,107,0,897,496,302,294,604,0,604
777,921,967,1246,1825,1688,2163,2623,1393,2182,1615,1750,1699,2960,2060
902,988,1181,1479,1333,1598,1530,883,963,921,914,1235,662,626,620
634,560,667,624,801,253,317,326,478,621,306,310,306,620,0
